lamda ,accuracy_original, accuracy_generated, difference_accuracy, f1_original, f1_generated, difference_f1, demographic_parity_data, demographic_parity_classifier
0.150000, 0.814944, 0.787103 , 0.027840, 0.629508, 0.558948, 0.070560, -0.135776, -0.192885
0.200000, 0.825793, 0.782805 , 0.042989, 0.633031, 0.569574, 0.063457, -0.053325, -0.149026
0.250000, 0.815558, 0.766837 , 0.048721, 0.621588, 0.524823, 0.096765, -0.040213, -0.109253
0.300000, 0.815353, 0.777687 , 0.037666, 0.617148, 0.545607, 0.071541, -0.091632, -0.122432
0.350000, 0.820676, 0.788946 , 0.031730, 0.623064, 0.551544, 0.071520, -0.084670, -0.139326
0.400000, 0.816786, 0.786899 , 0.029887, 0.612386, 0.527463, 0.084924, -0.002145, -0.075150
0.450000, 0.826817, 0.780553 , 0.046264, 0.648671, 0.542662, 0.106009, -0.067833, -0.104008
0.500000, 0.816377, 0.759263 , 0.057114, 0.621679, 0.520782, 0.100896, 0.020540, -0.065461
0.550000, 0.815558, 0.760901 , 0.054657, 0.610799, 0.501281, 0.109518, 0.064257, -0.015506
0.600000, 0.815558, 0.774821 , 0.040737, 0.614793, 0.538203, 0.076589, 0.014870, -0.064253
0.650000, 0.814944, 0.764381 , 0.050563, 0.616299, 0.523000, 0.093298, 0.060603, -0.031783
0.700000, 0.820676, 0.755169 , 0.065507, 0.643613, 0.524642, 0.118970, 0.077594, -0.038370
